"Timing","Year","Reduction"
"March",2013,87.354748580397
"March",2013,84.414283673028
"March",2013,83.1855543617012
"March",2013,94.6645767774328
"March",2013,82.6177608325683
"March",2013,93.7776997400037
"March",2013,89.2328546700846
"March",2013,94.161390168209
"March",2013,66.6912393246351
"March",2013,67.3676546325393
"March",2013,94.4706137690871
"March",2013,71.0945118961992
"March",2013,87.3011277109241
"March",2013,90.2992832696401
"March",2013,88.3590945630305
"March",2013,93.1206945141429
"March",2013,91.784687557969
"March",2013,93.0785484154296
"March",2013,93.6951111845224
"March",2013,92.5346124292057
"March",2013,77.8300085674909
"March",2013,68.448592082709
"March",2013,80.7385863723919
"March",2013,91.9170005807465
"March",2013,89.2894820767284
"March",2013,87.5629934326543
"March",2013,74.7183083976168
"March",2013,92.8410065135835
"March",2013,92.1410223623519
"March",2013,78.5351672328441
"March",2013,89.6375287101457
"March",2013,93.1164259358656
"March",2013,94.288510339851
"March",2013,89.5109373419977
"March",2013,94.5761569657925
"March",2013,89.0014493668011
"March",2013,91.5518330348626
"March",2013,92.9725451799692
"March",2013,94.7096066883575
"March",2013,82.1157827691243
"March",2013,88.0210509888374
"March",2013,93.7478748833635
"March",2013,91.7657768280107
"March",2013,79.4816098478794
"March",2013,93.7161671925254
"March",2013,94.361220092587
"March",2013,72.7350846964499
"March",2013,91.471681784725
"March",2013,88.4128023885716
"March",2013,64.7862735117846
"March",2013,89.7163288128128
"March",2013,76.6904509826465
"March",2013,91.6806466960082
"March",2013,92.3918854459662
"March",2013,92.6061450156042
"March",2013,86.7968488519765
"March",2013,86.0630989398769
"March",2013,90.0809615186002
"March",2013,81.5624906970919
"March",2013,83.8117407083929
"March",2013,62.3493557764286
"March",2013,68.8803627933433
"March",2013,76.2720935520578
"March",2013,82.0746168877002
"March",2013,87.8987080345909
"March",2013,89.9647404712913
"March",2013,93.6885642968208
"March",2013,94.0787445968445
"March",2013,80.1996292552651
"March",2013,85.5035108436952
"March",2013,94.1926962119583
"March",2013,72.1017794096617
"March",2013,78.8991066754338
"March",2013,83.645841290273
"March",2013,82.5863933012472
"March",2013,93.8941648109507
"March",2013,65.8788964143968
"March",2013,94.1334674538525
"March",2013,70.1148842228907
"March",2013,92.8264418175727
"March",2013,92.3196260734186
"March",2013,93.0554986250558
"March",2013,84.8832211503623
"March",2013,74.6525734231949
"March",2013,94.5396377058458
"March",2013,94.136966038553
"March",2013,91.3910946098496
"March",2013,66.9652008657923
"March",2013,70.746136232978
"March",2013,94.0577329689237
"March",2013,92.9294940026793
"March",2013,93.2550995873886
"March",2013,58.927065306746
"March",2013,93.9985812564054
"March",2013,93.4990869949494
"March",2013,94.4015051914098
"March",2013,80.3180719618204
"March",2013,86.978332429261
"March",2013,69.9888688780674
"March",2013,60.9871394242267
"March",2013,91.9748056932421
"March",2013,90.3598635904526
"March",2013,86.4284344342132
"March",2013,52.9967435010142
"March",2013,84.8769620815935
"March",2013,82.3946941390562
"March",2013,89.8235489648227
"March",2013,90.8395535165672
"March",2013,89.4533155022024
"March",2013,93.0097339888682
"March",2013,87.1976852429113
"March",2013,93.6439119536217
"March",2013,92.0092326323824
"March",2013,91.6861477391156
"March",2013,91.2461403303246
"March",2013,87.014439527395
"March",2013,94.4881426255091
"March",2013,88.0792865141534
"March",2013,93.8864943567032
"March",2013,81.7977533539216
"March",2013,81.5148662554773
"March",2013,93.0115453364176
